"instructor","id","section_sis_id","my_instructor_may_share_my_reflection_responses_with_the_researchers_in_this_study","as_of_today_i_am_at_least_19_years_of_age","in_this_class_youll_be_learning_about_the_process_of_scientific_investigation_what_do_you_think_that_process_looks_like_from_the_perspective_of_a_researcher_compared_to_what_it_looks_like_from_the_perspective_of_someone_in_the_general_public_who_is_a_consumer_of_scientific_results_write_a_paragraph_at_least_3_5_sentences_about_how_you_think_science_happens","paste_the_response_code_you_received_after_participating_in_the_graphics_experiment_here","what_do_you_think_the_purpose_of_the_experiment_was","what_hypotheses_might_the_experimenter_have_been_testing","what_sources_of_error_are_involved_in_this_experiment","what_variables_were_examined_for_each_variable_identify_whether_it_was_quantitative_or_categorical","what_elements_of_experimental_design_such_as_randomization_or_the_use_of_a_control_group_do_you_think_were_present_in_the_experiment_why","what_components_of_the_experiment_are_clearer_now_than_they_were_as_a_participant_what_questions_do_you_still_have_for_the_experimenter_write_3_5_sentences_reflecting_on_the_abstract","how_did_the_information_you_gained_from_the_components_of_this_project_participation_post_study_reflection_extended_abstract_presentation_differ","what_components_were_emphasized_in_the_presentation_that_werent_emphasized_in_the_abstract_why_do_you_think_that_is","what_critiques_do_you_have_of_this_study_and_its_design_what_would_have_made_the_study_better","if_you_had_to_hear_about_this_study_using_only_the_extended_abstract_or_only_the_presentation_which_one_would_you_prefer_which_one_would_be_better_for_determining_whether_the_experiment_was_well_designed"
"2","61147b4730ebb61d7aea6545f07a2728",NA,"I agree","TRUE","From the perspective of a researcher, the process of scientific investigation looks like designing an experiment based on a research question or hypothesis. Lots of research and retesting during the experimental procedures takes place during the investigation. Looking into previous studies and experiments also is part of the researchers process of scientific investigation.

From the perspective of someone in the general public who is a consumer of scientific results, the scientific investigation does not include designing an experiment or analyzing the data to explain why certain results were obtained. The process more so just includes the person reading through articles and journals published by other researchers and scientists and understanding the point that the researcher is trying to get across. 

Science happens when a person asks a question and then comes up with a way to test that question to gain results and data. Science happens all around us everyday and can be seen in the simplest things such as when you ask yourself if the drive down x street is quicker than the drive down y street so you time each drive to determine which way is quicker. It can be as simple as that and is so important for societal improvements. ","vinculum-chinoiseries-kirigamis-prostatism","I think the purpose of this experiment was to determine whether stats students are able to determine differences in the heights of bar graphs without values associated with them.","Null: Stats students and students not in stats are able to determine the correct value of the bar heights comparisons equally.

Alternative: Stats students are more likely able to determine the correct value of the bar heights comparisons compared to students not in stats.","Sources of error could include if a student used a computer with a bigger and brighter screen as they would have a better view of the images. Another source of error could be some students might have vision impairments and obviously that would effect the results obtained. The last source of error that I can think of would be the mental state of the student, if a student was extremely tired or groggy obviously they aren't going to be getting the correct comparisons.","Which bar (circle or triangle) was shorter; this is a categorical variable.

What ""percentage"" scale of the smaller graph made up the larger one; this is a categorical variable as well (no numbers were associated with this.","I am not sure who this experiment was distributed to, but I do know it was given to our statistics class for people who wanted extra credit so do to that fact there was not really randomization used in the experimental design. It is also hard to determine if there was a control group used since it is not known who this experiment was distributed to. The independent variable would be who the ""test-taker"" was and the dependent variable would be how well the test-taker performed. ","I did not realize the experiment was aimed to determine the difference on perceptual judgments when looking at 3D graphs versus 2D graphs. The results of this study will help to determine if 3D graphs truly do lead to worse accuracy in data comparison. I am interested to see the results of this experiment and I would have originally thought that a 3D graph would have led to more accurate data comparisons since there is more dimensions to compare. I would have liked if the experimenter would have put the reasons or predicted reasons as to why 2D graphs are thought to lead to more accurate data comparisons in their abstract. ","I learned from this presentation that the participants in this study were only people associated with the statistics department and this study was also aimed to see if there were differences in data comparison accuracy with 3D graphs and 3D graphs presented on a 2D surface. ","The components that were more emphasized in this presentation than in the abstract was how exactly the kits containing the graphs were set up and how they were used (experimental process). This presentation also looked more closely at the log scale equations used in the experiments. The results, analysis of the results, and future works were also included in the presentation. There was no significant difference between the results from the 2D graphs compared to the 3D graphs based on the log scales. ","I think that this study should have been given to a wider more randomized population and this would lead to more accurate results. I also think that making the participants watch a video on how to view the 3D graphs on a 2D screen would have been helpful because it was more trial and error to determine how to zoom and rotate the image to best view it. ","I would prefer the presentation because it was more easy to understand exactly what they were studying with speech and the graphs. The presentation would most likely be better for determining whether or not the experiment was designed well as the presentation goes into more details about the experimental procedures than the abstract did. "
"2","5d6570358e9ee8f6982438f711b20e0e",NA,"I agree","TRUE","From an outside perspective it can be easy to gloss over the small details that make up a scientific investigation. The consumer of the results is more likely to only care for the outcome of that data and what it means to them. However, researchers have a different perspective when it comes to research. The researcher is dedicated to getting to the bottom of a research question. They carefully craft an experiment to answer their question, as well as using that data to compare with additional information. ","pentimenti-redefines-bushbucks-untillable","To see how different people perceive data presented in graph form (what people may believe is a huge difference or not). ","Do individuals have different perceptions of statistical data when presented by a graph?","Individuals taking the survey may be confused when using the sliding tool in the survey. ","Which bar is smaller? This would be a categorical variable. How small is it compared to the other bar? This variable can be considered quantitative since it is measuring. ","This experiment may use randomization, being that anyone in Stats 218 can opt in to partaking in the experiment. ","After reading the abstract, the experiment makes so much sense. Before, I thought the researcher was attempting to gage the public's perception of data represented by graphs. However,  the study goes beyond just that. I now understand why researchers do not tell their audience what question they are attempting to answer, as this information may lead to invalid findings. The abstract states that researchers are attempting to extend/replicate a past study and investigate whether 3D bar graphs are less accurate than 2D ones. However, there is additional support for 3D graphs. The researchers are trying to replicate a previous experiment, hoping to get closer to the answer. I appreciate the opportunity of being able to understand the structure and purpose of the experiment I took part in. I have no additional questions for the researchers. ","At the beginning of the experiment, I was left in the dark in regards to the purpose behind the study. After taking the study, I was convinced researchers wanted to see how people interpret data portrayed on graphs. However, after reading and watching the video regarding the details of the experiment, I learned I partook in a replicated experiment that looked at the difference between 3D and 2D graphs (which people prefer/gain more from). ","Both the presentation and the abstract covered the purpose, design, method, and future implications of the experiment. However, the presentation touch upon the results of the original and replicated experiments. The data was presented numerically in an organized table, as well as two visual graphs/plots. ","I think the study was well structured. Now that may have been because the study was copying/replicating a previous study. My only question regarding the study as a whole is why were they trying to replicate the original experiment as close as possible? Why didn't they replicate the experiment and then compare the results (without the goal of close similarity to begin with)? ","I would say to watch the presentation. The presentation hits all of the points that the abstract goes over, but also analyzes and shows the data collected in multiple different ways. Therefore, knowing this additional information may make it easier to decide whether the experiment was well designed or not. The visuals and commentary in the video are also a great tool for digesting the experiment as a whole. "
"2","56e0a05a0d5c45a2e260dae81dec693d",NA,"I agree","TRUE","The process from the perspective of a researcher begins with identifying a research question or hypothesis, followed by an extensive review of existing information to build knowledge. Researchers then design and conduct experiments, collect data, and analyze the results using statistical methods. For someone in the general public, consuming scientific results is often more simplified and filtered through media outlets. The public is exposed to a version of scientific results that are worded in simpler terms in order to make more sense to those without the proper background knowledge, which can lead to oversimplification and misinterpretation.","counterproject-bourgeoise-cornfed-landaulet","To see if people tend to overexaggerate or possible underexaggerate the difference between the two bars depending on distance and angle. ","The null hypothesis may have been that people don't tend to exaggerate the difference between the two bars when shown different graphs with different angles and distance between the two bars. The alternative hypothesis may have been that people do tend to over/under exaggerate the difference between the two bars when shown different graphs with different angles and distance between the two bars.","Human error, the higher angles of the graphs tend to show less of a difference between the two bars to the human eye which may be the only reason why people would tend to answer that the difference between the two bars is smaller than it actually is. ","the independent variable is the 3D and 2D graphs with the circle and triangle bars - categorical

 the dependent variable is how large of a difference between the circle and triangle bars that people notice - quantitative","There were different angles shown so that you couldn't see straight on the difference between the two bars, and the two bars were sometimes separated and further apart from each other. This also made it difficult to more accurately choose how big the difference in height was between them. ","It wasn't clear to me what exactly this experiment would prove or what it would improve given the results. After reading the Extended Abstract, the experimenter shared how the results will help in extending further 3D printed graphics research and creating data graphics for those that are visually impaired. Something that I still have a question about is figuring out how to make a conclusion from the results because the way that we judged the difference between the two bars was on a spectrum so it is highly likely that no value was submitted more than once. ","The information gained progressively became more interactive and communicative of the study and what the purpose of it was. ","That 2D graphs were the better graphs compared to 3D graphs because they provided more confident answers and didn't distort the graphs based on the angle like 3D graphs do. I think that the presentation was more so meant to cater towards an audience, whereas an abstract is more so catered for publication. ","There were only a limited amount of different graph types used within this study and reading values from graphs and comparing data points may be too simple or not broad enough to fully capture the positive or negative sides to particular graphs. Using more graph types and having more complex tasks within this study could make it better and more applicable to evaluating graphs. 

 

 ","I think that I would prefer the presentation because there was a lot more information provided that helped me to understand the study and its purpose. I think that the presentation would be better for determining whether the experiment was well designed. "
"2","34a33f9c0cecdba68b9c846f03276682",NA,"I agree","TRUE","The way science happens is that researchers set up a study with a hypothesis to figure out something they are curious about (e.g., the effects of stress on college students' scores and performance in their classes). Sometimes this is done through observational work (as we've been looking at in this class). Sometimes this is done with an experiment that has both a group that is being tested and one that is the control. If humans are involved at UNL, an IRB must be completed. From this work and research, they may publish, and there is usually some time of peer review process to ensure quality science.

 

Thank you!","neutralness-strewing-deconditions-lighting","Comparing perception of bar size based on a %.","That colors, angles, or amount of 3d shading influence perception, possibly related to using computers or internet spaces. This may be exploring how using the internet changes the ranges of information the brain can normally perceive. For example, recent studies have examined color the decrease in color preception based on exposure or use time to computers. Good work!","visual impairment

lighting in room

computer variation

distraction

investment","Good question for us!

the percentage was quantitative right, there's only the range 0-100%.

the triangle or circle was the category.","certainly any of could be a control group - great work!","The components that are clear are the focus on preception and 3D and 2D. I didn't understand the 21 kit aspect, but now I understand that there was a clear measurement tool. I didn't know it was a study set up to test the work of an earlier study. That's neat. It does make me wonder if computers (e.g., 1984) may influence perception. Thank you for doing the work!","It was about the same. The guy was boring and the visusals were distorted, so I'd personally rather do the experiment and scan the abstract. I did like the powerpoint though and that's helpful.","Adding additional aspects like a person and a voice makes it feel more human. That's always helpful for learners.","No critiques. I guess maybe the bigger why - why do this study now? How will it help?","The abstract. For me, I have a graduate degree so I like things clear and concise. Thank you!"
"2","8eab7efab81b064cbca32268de37c76a",NA,"I agree","TRUE","I believe that science happens through the different chemical bonds reacting to each other within the molecule and with others that surround it. They can repel or attract different molecules to reach a desired product. Outside forces may inhibit this product from forming as some processes can only happen under certain conditions. ","fiftieths-lased-sepulture-compensatory","I believe that the purpose of the experiment was to analyze different sizes of columns","I think the hypothesis the experimenter might have been testing is based off of age, how well can one interpret column size in a group","A source of error that can be involved is the users knowledge on how to use the slider to determine one columns size to the other","The columns size was quantitative as it is something that we are able to measure","Everybody is receiving similar treatment and we are all categorized into different groups based off of our age. The question at the beginning asking about what our favorite zoo animal is could also affect what group we are placed into to analyze our answers as a mean of randomization. The columns being examined or compared were always labeled with a triangle and a circle, which can be our controlled group. However the color, size, and whether the columns were 2D or 3D varied","What is made clearer is what the researcher is trying to study. They are trying to find a difference between 2D graphs, 3D printed, and 3D digital graphs and how people analyze them. My one question for the experimenter is that do we think the rayshader package also had an influence on the study? It was only applied to the 3D digital graphs and could influence on how the graph is perceived by those analyzing it, versus the other two being one solid color typically.","Throughout the process I gained more and more knowledge about the experiment. This presentation gave me more knowledge about what the experiment is and how it was designed other than the abstract.","In the presentation, they went more over the background of the experiment. They discussed that they were basing it off of a previously done experiment called Cleveland and McGill. They discussed the treatment designs in depth and what changes they made. I think that they did this because to some it may be unnecessary knowledge.","Overall, I believe that the experiment itself was done in a good way as the directions were clear. However, after watching the presentation I do wish that they included some more of the background information (Cleveland and McGill, etc. ) in the written abstract so the reader can have this deeper understanding.","I would prefer the presentation because it gives the audience more information about the experiment rather than the extended abstract. The presentation goes over the results of the experiment and explains what they mean using graphs and other visuals. Therefore, the presentation is better for determining whether the experiment was well designed."
"2","1cdd1910885b6b6ab03cbc964e8047f6",NA,"I agree","TRUE","The method of scientific research, from the standpoint of a researcher, is a systematic and thorough approach to comprehending the natural world. It starts with developing a specific research topic or hypothesis, which is then followed by a thorough assessment of current literature to build on past knowledge. The researcher then plans and executes experiments or studies, carefully gathering and evaluating data in order to reach objective findings. However, from the standpoint of a member of the general public who consumes scientific results, the procedure may appear more straightforward and brief. Consumers typically learn about scientific discoveries through popular media, where difficult research is simplified into straightforward language. They may be unaware of the substantial preparation that went into producing those results, such as years of research, and the many studies that were done. This process looks very different from different standpoints. ","persecutees-forfend-litigation-exodontias","I think the purpose of this experiment was for the researcher to gather data on how people perceive, interpret, and understand 3D graphs. ","A hypothesis for this experiment could be: people can better interpret data on a 3D chart than they can on a 2D chart.  ","Some sources of error that may be involved in this experiment are: 

1. If the participants had prior experience and familiarity with 3D charts then this may influence their responses due to their previous experience. 

2. If the participant had no prior experience and familiarity with 3D charts then they might be confused and might just pick random answers due to their lack of understanding of 3D charts. 

 ","There could be a lot of different variables examined in this experiment 

Some quantitative variables could be: 

The age group of the participants, the time each student took to interpret the chart, and the level of accuracy of their interpretation 

Some categorical variables could be: 

The education levels of the participants and their prior experience with the topic. 

 

 ","Randomization: The survey used an experimental design where in the survey there were different sets of 3D charts and maybe by a randomization process each participant was shown a different set of charts to see the differences in interpretations of the charts based on which set was assigned. 

Control Group: Since this survey aimed to only understand how participants interpret 3D charts without comparison to other chart types, then no control group was needed.  ","The study focuses on determining how useful various forms of bar charts are, particularly 3D charts. The authors intend to recreate and modify a previous experiment done by Cleveland and McGill in 1984. The research that was done in this experiment showed that 3D graphs are a less accurate way of transmitting numerical information compared to 2D graphs, the current study that is being done shows otherwise. The research basically compares 2D graphs, 3D digital graphs, and 3D printed bar graphs. Where participants are shown various bar charts and are asked to judge different characteristics of the graphs such as the size difference and ratio. The study repeats the Cleveland and McGill experimental approach with adjustments to the chart styles to examine the accuracy of the participant’s replies. The study aims to shed light on the efficacy of 3D printed charts in comparison to traditional 3D and 2D charts. From the results, the study concluded that 3D-printed charts are superior in comparison to different types of charts.","The information that I gained from the components of this project weren’t really different, it was mostly the same income throughout. I did learn new information from this project, I was kind of surprised of the conclusion that 3D printed graphs are the best form of graphs when plotting numbers, I always thought that 2D charts are the best. ","In the presentation, there was a lot of background information about 3D-printed charts, and these charts were compared to 2D and regular 3D charts but overall the information was similar in both the abstract and the presentation. I thought it was very consistent throughout both the presentation and the abstract and the information was very easy to understand but I personally didn't see any huge differences worthy of mentioning. ","I thought that the study was overall very well designed, the question asked really make you use your brain and critical thinking. I don’t think that I have any critiques of this study considering that it was replicated from a different study I think this is the best that the study can be right now. ","If I had to hear about this study I would prefer to hear about it through the presentation only. I’d prefer the presentation because the guy does a really good job at explaining what the study is and he shows you how to do it. I thought that he did a really good job at explaining background information, methods of the study, purpose, as well as the conclusion that was reached from the research. "
"2","63abd8da889acf5dbdd5ce72a24dbce6",NA,"I agree","TRUE","Throughout one's academic journey we are repeatedly taught the scientific method repeatedly. To the general public, this is perhaps what they may view from behind the scenes and at times it could just be a brief idea. Before taking a research methods and STAT 218, I viewed it as a simple experiment and based off of an observation and later having its results interpreted. For researchers it is much more than that and involves a lot of deeper analyzation. ","upstare-comatik-hormonic-toolhouse","Perhaps the purpose of this experiment is to identify how often someone may be able to correctly pinpoint which bar and how small it is in comparison to the other bar in question.","Null = The proportion that respondents will answer correctly in regards to the size of the two bars provided is 0.50. 

Alternative = The proportion that respondents will answer correctly in regards to the size of the two bars is less/greater than 0.50.","The sample may be too small, does it have to be exact or is there a certain range participants can pinpoint to be ""correct."" Also, the question of where we are pulling these samples from, is it only specific to UNL STAT 218 students or other institutions as well?","The variables are whether or not the student/participant answer correctly (categorical) and whether or not the student is enrolled in STAT 218 (categorical), or has has access to a physical 3D kit (cateogrical).","Based on what I know, the sample is not randomized as students volunteered to participate in this study for extra credit. However, it is possible there is a randomization in the type of graphs that were presented to students. It appears that there is no control group, perhaps it could be individuals who have access to a physical kit, which would then change our hypothesis and research question. ","The concept that there were 3D and 2D graphs in this study was something I forgot to acknowledge which was explained in the article. The research purpose is overall very clear as I was unsure of what they were measuring to begin with. In addition, it is clear to see who is a part of this study and how selection of this sample was made. ","This video differs in a sense that we are understanding the background rather than doing the study. The abstract briefly covers this and instead talks about a past study that they are now trying to replicate. ","I believe in the abstract it wasn’t emphasized that this was study made upon University of Nebraska-Lincoln until the end regarding the future of the study. This is most likely because it is based on a study made upon a group that is not from UNL but rather the statistics department. I also noticed that the problems with 3D graphs was covered in the video but not the abstract, perhaps this is because it did not feel revenant in regards to reporting the study. A visualization of Cleveland and McGill’s study was shown in the video whereas it was not in the abstract, this was perhaps not shown in the abstract regarding space or length wise of their paper.","My only critique is perhaps the sample size and manner. It is a voluntary study which can often cause the sample to be small and unrepresentative. ","I would prefer the video presentation. I feel like it’s easier to understand what is being presented. The abstract appears to be lacking details that would be convenient to understand for the study. I also like the visuals given in the video presentation which also helps in terms of understanding. When it comes to understanding whether the experiment was well designed would probably be the video, it gives all the same details as the abstract and also provides examples of how to complete the study in order to avoid any misinterpretations. Although the abstract may appear more credible, the video presentation in this study appears to be the most helpful and reliable."
"2","6c27d3c9567bf338f564452bbb5be261",NA,"I agree","TRUE","Scientific investigation looks different depending on ones area of expertise. From my basic understanding scientific investigation forms from the foundation of the scientific method which is used by scientists to explore and investigate in order to answer questions about the world around us. If you were someone who was apart of the general public I would imagine your perspective would be a little more focused on observations and problem solving. If you were a researcher you would understand that it's a systematic process of acquiring knowledge and new understandings through problem solving and a series of trials and error. I believe that science happens by having curiosity and being able to question things around you. The base of all science is forming a hypothesis and testing that hypothesis through a series of designed experiments and data collecting. It takes lots of time and collaboration. It also keeps building the more information is received. The beauty of science is that there is always room for new information which ""creates science"".","encrusting-eelgrass-sonic-subordinated","I think the purpose of this experiment was the way in which we interpreted the data that was given. The way in which we understood the questions might need to different interpretations among participants. Through the series of lines we had to pick which one was smaller and rate how much more smaller it was. ","The experimenter might have been testing the hypotheses that participants are more likely to choose the triangle more than the circle or vice vera. Or that participants don't choose one the of the shapes at all. ","I felt that choosing how much more smaller than the largest one was a little on the range part of the question was misleading. I didn't fully understand if they meant the largest line in general or in comparison between the 2 lines that they were asking you to choose which was smaller. So the way in which things were worded was a source of error. ","The variables were the shapes and the line sizes. The line size is quantitative because you can measure the distance of each line but it could also be categorical because they were categorized by small or large. The shapes were categorical between triangle and circle. ","I think the control groups were if you were a stats 218 student or not. It was not exactly a randomized group of people because I am assuming it was anticipated for college students but it could be for anyone but information is not given. If you were to do the entire population then that would be a different experimental design. But for the sake of this experiment I believe it was random college students who were either in stats 218 or not. There can be a wide range of considerations such as age, educational, level, and college courses. ","After reading the extended abstract it was a lot clearer about what exactly the methods were for this study. I know know that visual depth is one of the factors that went into the study along with 3D and 2D models. I was not aware beforehand that there were different kits that had different comparisons. What I am wondering is what the other kits have in them. I also want to know exactly if I was doing it right because it was discussed in the abstract that 3D printed things can be misguided. In a way that helps me understand the point of the study, but I am interested to see the results. ","Throughout this project I would say I gained more information about what a study might look like when conducting it was a population who knows nothing about why they are doing it. I was very confused as a participant and I feel that is good because you can get a more accurate reading. The post-study I was able to reflect on what I did and be able to see it from a statistical viewpoint. The abstract informed be about how the study was conducted and went over the methods. The presentation I got more background knowledge about why they wanted to conduct the study and how it all came together along with the results. I also learned about what the research question was. ""How do 2D and 3D charts compare to one another?"" I learned about the overall goal and was able to understand the study more. I also got an answer to a question in which I asked back in the post-study which was ""Who was involved in this study?"" I now know the study was for members of the statistics department and not random populations of students at the university. I thought it was cool her went over the future of the study to see how they plan to build on the information they have. It was also interesting that he want over the steps in which I am completing now and I realized I was apart of the experiment all long for each step. I was wondering exactly the point of each step but as I have completed everything it is much more clear. ","From this presentation it was a lot more clearer than the abstract. The abstract was kind of vague from my point of view. From this presentation it went over everything nicely and provided visuals which help me understand the study better. It went over the values and the comparisons they used to make assumptions. The presentation also went over the findings of the study and provided answers to some of the questions. I learned about what the different kits looked like and what was in them. In the abstract they did discuss the different kits but I didn't fully understand what they looked like. There were also statistics that were more detailed than the abstract. The results were interesting to look at and see where I was at throughout each step of the study.","I think that the questions and the directions were extremely vague during the beginning of the study. I had no idea what I was doing the whole time. The technology also got messed up a few times when trying to get into the study. The 2D and 3D bars were not showing up for the longest time until I refreshed my browser. I also did not fully understand the scale in which I was rating the size of the smaller bars. ","If I had to only hear about the study from either the abstract or the presentation I would prefer the presentation because it was more direct and went over the results in a condensed way with lots of visuals. Personally, I don't enjoy reading abstracts without all the information. It is easier for me to look at an abstract after I know all the information but that is just me. I think the presentation lets me know all the different design elements of the experiment and they were able to justify each part. As he was talking about the experiment in the presentation you could tell it was well prepared and designed. "
"2","ecb61135448f91d7e52b2fceea94290b",NA,"I agree","TRUE","When thinking about what the process of scientific investigation looks like compared to the general public, more detail than what one might think goes into it. First, a question must be turned into a hypothesis. And form here, many experiments must be done to get the correct product. From the consumer end, they think it was an easy process, but from a research point of view, many experiments and trails were needed. ","mobocracy-meningitis-discants-romanticise","I think this experiment aimed to test if it was easier to compare two graphs in 2D or 3D. ","If graphs are presented in a 3D interactive model, then students can easily compare the size to 2D graph models. ","Some sources of error involved in this experiment would be procedural and human. Procedural because participants may be confused about how to answer the question. Although there was an introduction with examples, the wording was still confusing. There were also no instructions on how to zoom in and out or move the interactive models around. This could leave some people not able to gain the full experience of the model and lead to an error. ","2D bar graphs vs 3D bar graphs = Categorical 

The difference in size comparing two bars = Quantitative 

What bar was smaller, triangle or circle = Categorical 

Other factors that could have been tested: Gender (Categorical), Age (Quantitative)","For a control group, it (could have) shown 3 examples of the question on how the slider works. Randomization was used in the types of graphs offered, the lengths of the bar graphs, and/or which one was bigger or not (triangle vs circle). ","As I put in the hypothesis for this experiment, I thought they were testing that 3D models aided in better comparison than 2D models, however, now I know they were trying to test the opposite. In my opinion, this makes more sense as I thought it was harder to interpret the 3D models compared to the 2D models. One thing I would suggest for future experiments, if I may, is to include how to use the 3D models. I think having instructions or a short video on how to move and look at the 3D model will create better results with fewer sources of error. 

Question: Would you expand this study beyond students in statistics? I think allowing more students to take this ""quiz"" will allow for far greater results. To allow for a more accurate conclusion. ","They differed as they built on each other. With the participation, you did not know exactly what was being tested but you could take an educated guess. The post-study reflection reflected on what was just done within the experiment while the abstract allowed you to read the actual study in terms of the paper and reflect on it. The presentation was good, it offered sort of a layout of what I just went through just more in-depth without myself actually doing the experiment. ","The components that were emphasized in the presentation compared to the abstract would be the experiment itself. The abstract has only so many words for what the experiment is, how it was completed, and the results. The presentation was able to emphasize the experimental procedure that one did but also how the results were calculated and gathered. I think that it was like this because it is easier to emphasize these things in a presentation as compared to the abstract, or paper. This is because you can easily show pictures and explain it. ","I do not have much critique about this study and design. It seems really thought out. The only suggestion I have, as mentioned in my other responses, is to show how to work with 3D models. Putting participants with no experience with 3D models can be hard to get accurate results. I would suggest putting some notes or a short video on how to move the models. This will allow participants to more accurately show if 3D models are less than 2D models. I would also suggest expanding this experiment further than just statistics students. This is a very niche group and for more unbiased results, use students of UNL. ","I would suggest the presentation. This is because it is more engaging for the viewer but allows one to see the experiment step by step. The presentation walks through from begging to end. It allows emphasis on the experiment procedure, how it works, the calculations for results, and interpretation better than what the abstract offers. "
"2","d1a6d57d4f109d176a665c59f8b1a541",NA,"I agree","TRUE","The process from the perspective of the researcher is a lot more hands-on and involved than the one of the general public. The researcher has to know all of the parts of an experiment and plan it. Therefore, they have to anticipate the mistakes in the experiment before they even happen. While the public consumer of the experiment purely absorbs the the information without any further understanding. ","medievalism-dissimulate-monocotyledon-indicate","To understand and compare the different perceptual views and decisions of various participants.","Do different colors, shapes and various components of 3D shapes effect the visual perception of the viewer?","Computer or technology error if the 3D shapes are also not applicable to participant.","Which block was bigger? Triangle or circle - categorical

The amount of increased size of the bigger choice to the smaller choice - quantitative because so many different levels on the bar to choose from.","I think that the randomization of choosing a random set of graphs to choose from 1-21 was a good aspect to this experiment and ensured there wasn't the same sets of graphs for everyone. This keeps the research question intact, and keeps the study focused on overall perception and not just the perception of a certain grouping of graphs.","Some components of the experiment are clearer to me as the participant such as the importance of the mixture between 2D and 3D shapes. I didn't think anything of that, I thought the testing variables were more centered around the color and the heights. My question was why was every graph in my experiment taller with the triangle? I thought there should have been some variability. Maybe it was merely a coincidence that this happened when I randomly picked the 21 group of graphs.","I think that my understanding of the purpose of this study continued to advance and expand as I did each activity in order. I began to understand more of the components of the study, and that lead me to understand it's overall purpose better in whole. I began to understand it more from the experimenter's point of view rather than purely just a participant's perspective.","The background and history of 3D graphics and how they work exactly.","My critique is the question of ""which bar is bigger triangle or circle?"" and it was always triangle. Why include this question? It could be purely a control or categorical variable, but if not, I don't really understand it's prupose.","I would prefer the presentation if I had to choose. I think that the presentation better explained the study, and I liked how the presentation included the background information on graphs and who this study was targeted for."
"2","749ed864dfa18a803495e67ca1890d5a",NA,"I agree","TRUE","I think that the process of scientific investigation in a researcher point of view would be to come up with research questions, experimenting, and analyzing the data. I also think that after the results are found, they would want to write and publish their findings. I think that the process of scientific investigation in the general public point of view would look very different. For example, the information that the public would see would be simplified and be a summarized report. The general public would also most likely get this information through media, such as a website or social media, not in a lab. The way the general public gets the information allows them to understand the main findings of the scientific investigation and grasp the most important information.","safrole-zooning-treasured-solidified","I think the purpose of the experiment was to compare how the general public reads and interprets graphs in different formats compared to scientists, and how they analyze experiments.","Hypotheses the experimenter might have been testing were ""How might different forms of graphs effect how people look at results?""","Sources of error that are involved in this experiment are that some people had physical graphs in front of them while others were looking on a screen. ","The variables that were examined were triangles and circles, through the bar size on the graph itself. I would consider this to be categorial, because there were no actual numbers involved, you were basing your answers off of photos, not numbers.","Elements that I think were present in this experiment would be the randomization of the control group because the people who decided to participate from the STAT 218 course chose if they wanted to participate, and the instructor did not. ","Components of the experiment that are clearer now than when I was a participant is that the primary purpose of this experiment was to provide evidence that 3D graphs are more difficult to analyze and interpret than 2D graphs. Questions I still have for the experimenter would be, does the accuracy of the bar results affect the outcome of the experiment, or is the component not accurate enough to prove the quantitative study of the 2D and 3D graphs?","The information I gained from the components of this project differs because, in some components of this study, I was asked to look at a scientist's point of view, the general public point of view, what I think the study is about, the actual experiment itself, an abstract reflection of the goal of the experiment, and my reflection on the information about this study. They might all be different, but they all come together to grasp information and gain multiple perspectives on the experiment itself.","Components that were emphasized in the presentation that weren't emphasized in the abstract would be the benefit of 3D graphs, and how in some cases,  3D graphs work better. I think they did not include that information because the study is not about the pros and cons of 3D graphs, but how 3D graphs in some cases are not ideal to use when interpreting data.","Critiques that I have about this study and its design would be to be more specific on the bar comparison between the two sizes. Some questions throughout the study threw me off a bit because I was confused if I was comparing the side of the singular graph or the graph in its entirety based on if the triangle or circle bar was smaller.","If I had to hear about this study using the extended abstract or only the presentation, I would have preferred the extended abstract. I say this because it was harder for me to find flaws when I had the information and study explanation right in front of me, compared to a presentation with some information that is not relevant to this study. However, I would say that the presentation does a better job of showing the experiment was well-designed because they are able to show in real-time the models and their size comparison."
